   profile trade_id product side       date     time         qty price             fee             total
1  default     1725     ETC  BUY 2018-08-08 21:16:17  4.06665794 14.71 0.1794616148922 -59.9999999122922
2  default     1749     ETC  BUY 2018-08-08 21:18:02  1.02502635 14.59 0.0448654033395 -14.9999998498395
3  default     2224     ETC  BUY 2018-08-08 21:24:50  3.40276100 14.65   0.14955134595   -49.99999999595
4  default     4211     ETC SELL 2018-08-09 02:00:01  2.00000000 15.30               0             +30.6
5  default     6087     ETC SELL 2018-08-09 11:57:07  3.00000000 14.80               0             +44.4
6  default     6116     ETC  BUY 2018-08-09 12:05:38  3.00000000 14.70               0             -44.1
7  default     6167     ETC  BUY 2018-08-09 12:19:26  4.00000000 14.61               0            -58.44
8  default     6293     ETC  BUY 2018-08-09 13:11:41  2.00000000 14.50               0               -29
9  default     6578     ETC SELL 2018-08-09 13:46:24  4.00000000 14.75               0               +59
10 default     8453     ETC SELL 2018-08-09 20:38:45  4.00000000 15.10               0             +60.4
11 default     9072     ETC  BUY 2018-08-10 01:36:00  4.00000000 14.70               0             -58.8
12 default     9825     ETC SELL 2018-08-10 12:06:38  1.55626300 14.85               0      +23.11050555
13 default     9826     ETC SELL 2018-08-10 12:07:00  3.44000000 14.85               0           +51.084
14 default     9827     ETC SELL 2018-08-10 12:07:01  0.00373700 14.85               0       +0.05549445
15 default    10039     ETC SELL 2018-08-10 13:53:58  3.00000000 15.20               0             +45.6
16 default    10256     ETC  BUY 2018-08-10 15:56:16  5.00000000 15.10               0             -75.5
17 default    10272     ETC SELL 2018-08-10 16:05:05  5.00000000 15.20               0               +76
18 default    10282     ETC  BUY 2018-08-10 16:12:18  5.00000000 15.10               0             -75.5
19 default    10325     ETC  BUY 2018-08-10 16:48:36  5.00000000 15.00               0               -75
20 default    10604     ETC SELL 2018-08-10 18:48:07  5.00000000 15.20               0               +76
21 default    10751     ETC SELL 2018-08-10 19:24:58  5.00000000 15.11               0            +75.55
22 default    10778     ETC  BUY 2018-08-10 19:32:46 20.00000000 15.00               0              -300
23 default    11902     ETC  BUY 2018-08-10 22:50:05 17.00000000 14.20               0            -241.4
24 default    12000     ETC SELL 2018-08-10 23:19:27 17.00000000 14.30               0            +243.1
25 default    12145     ETC  BUY 2018-08-10 23:58:31  4.90000000 14.20               0            -69.58
